Hebrew Aramaic Strongs Number
2
4
7
69
104
116
144
147
148
149
153
228
230
236
252
263
280
307
311
317
318
320
321
324
363
383
399
409
412
426
429
431
459
479
506
516
521
524
540
560
563
574
576
581
586
598
600
606
607
608
613
629
633
636
638
670
671
674
677
703
711
718
735
744
749
754
755
756
772
773
778
785
787
826
846
849
852
858
861
870
873
888
895
896
921
924
927
956
989
997
999
1001
1005
1079
1080
1093
1096
1113
1123
1124
1147
1149
1156
1159
1169
1236
1240
1247
1251
1289
1291
1297
1321
1325
1355
1358
1370
1400
1401
1411
1414
1459
1467
1490
1505
1510
1519
1528
1535
1541
1547
1560
1585
1596
1611
1635
1655
1668
1678
1684
1685
1693
1701
1722
1723
1751
1753
1757
1759
1761
1763
1768
1778
1780
1782
1784
1791
1797
1798
1799
1815
1821
1836
1841
1855
1859
1868
1872
1882
1883
1884
1888
1907
1917
1922
1923
1932
1934
1946
1965
1981
1983
1994
2002
2006
2031
2084
2095
2103
2110
2112
2122
2136
2164
2166
2170
2171
2178
2192
2200
2211
2217
2234
2248
2255
2257
2269
2273
2298
2305
2306
2323
2324
2338
2358
2370
2376
2379
2402
2408
2409
2417
2418
2423
2429
2445
2452
2493
2499
2508
2528
2591
2597
2604
2627
2631
2632
2635
2685
2718
2749
2761
2783
2804
2816
2818
2827
2857
2868
2877
2906
2908
2917
2920
2927
2939
2941
2942
2953
2957
2967
2987
3007
3026
3028
3029
3046
3052
3061
3062
3118
3191
3202
3221
3255
3272
3319
3321
3330
3345
3346
3358
3367
3393
3410
3443
3479
3487
3488
3493
3538
3542
3546
3549
3551
3567
3604
3606
3635
3652
3660
3673
3675
3679
3702
3705
3706
3729
3735
3737
3744
3745
3764
3779
3790
3792
3797
3809
3821
3825
3831
3848
3861
3879
3890
3900
3904
3916
3961
3964
3969
3977
3983
3984
4040
4049
4056
4061
4070
4076
4077
4083
4101
4193
4203
4223
4255
4291
4333
4336
4391
4398
4406
4415
4416
4430
4431
4433
4437
4449
4479
4481
4483
4484
4486
4504
4510
4567
4577
4606
4756
4776
4779
4804
4873
4887
4903
4907
4953
4961
4978
5013
5017
5020
5023
5029
5043
5047
5049
5053
5069
5073
5075
5085
5094
5103
5111
5122
5135
5142
5174
5182
5191
5202
5208
5232
5245
5256
5260
5261
5267
5308
5312
5313
5326
5330
5338
5343
5368
5376
5389
5396
5403
5407
5412
5415
5426
5443
5446
5452
5457
5460
5463
5481
5487
5491
5559
5583
5609
5613
5622
5632
5642
5648
5649
5665
5673
5675
5705
5709
5732
5751
5758
5776
5784
5796
5824
5831
5839
5843
5870
5894
5922
5924
5928
5931
5943
5946
5952
5954
5957
5962
5967
5972
5974
5994
6015
6032
6033
6050
6056
6065
6074
6088
6132
6136
6146
6151
6167
6173
6236
6243
6246
6263
6268
6347
6353
6361
6386
6387
6392
6399
6402
6433
6447
6460
6523
6537
6540
6543
6562
6568
6573
6590
6591
6600
6606
6613
6634
6640
6647
6655
6656
6665
6676
6739
6744
6755
6841
6853
6902
6903
6922
6925
6928
6933
6966
6992
7001
7007
7010
7011
7030
7032
7066
7108
7109
7113
7118
7123
7127
7129
7149
7162
7170
7187
7217
7229
7236
7238
7240
7244
7260
7261
7265
7266
7271
7284
7299
7308
7313
7314
7328
7352
7359
7365
7382
7412
7470
7476
7487
7490
7512
7560
7593
7595
7598
7606
7624
7625
7631
7655
7662
7672
7680
7690
7695
7712
7715
7739
7792
7801
7804
7844
7859
7868
7912
7920
7924
7932
7954
7955
7960
7963
7972
7981
7983
7984
7985
7990
8000
8001
8036
8046
8065
8075
8086
8115
8120
8122
8124
8128
8131
8133
8139
8140
8160
8177
8200
8209
8214
8215
8232
8238
8243
8271
8330
8332
8340
8353
8355
8361
8406
8411
8421
8429
8450
8460
8479
8517
8523
8531
8532
8533
8536
8540
8578
8579
8614
8624
8625
8627
8631
8632
8648
8651
8652
