Strongs Number ^ Derived From
g2 ^ g0175
g3 ^ g011
g4 ^ g1 , g922
g5 ^ g02
g6 ^ g01893
g7 ^ g029
g8 ^ g054
g9 ^ g58
g10 ^ g031
g11 ^ g085
g12 ^ g1 , g1037
g13 ^ g02285
g14 ^ g18 , g2041
g15 ^ g17
g16 ^ g17
g17 ^ g18 , g4160
g19 ^ g18
g20 ^ g21
g21 ^ g242
g22 ^ g1 , g1062
g23 ^ g43
g24 ^ g23
g25 ^ g5368
g26 ^ g25
g27 ^ g25
g28 ^ g01904
g29 ^ g0104
g30 ^ g43
g31 ^ g32
g32 ^ g34 , g71
g33 ^ g71
g34 ^ g32 , g71
g35 ^ g1 , g1075
g36 ^ g1 , g1085
g37 ^ g40
g38 ^ g37
g39 ^ g40
g40 ^ g2282 , g53
g41 ^ g40
g42 ^ g40
g44 ^ g43
g45 ^ g43
g46 ^ g1 , g1102
g47 ^ g53
g48 ^ g53
g49 ^ g48
g50 ^ g1 , g3539
g51 ^ g50
g52 ^ g50
g53 ^ g40
g54 ^ g53
g55 ^ g53
g56 ^ g1 , g1108
g57 ^ g1 , g1110
g58 ^ g1453
g59 ^ g58
g60 ^ g58
g61 ^ g71
g62 ^ g1 , g1121
g63 ^ g68 , g832 , g833
g64 ^ g61
g65 ^ g1636 , g66
g66 ^ g68
g67 ^ g2462 , g66
g68 ^ g71
g69 ^ g1 , g5258
g70 ^ g69
g72 ^ g71
g73 ^ g71
g74 ^ g73
g75 ^ g73
g76 ^ g0121
g77 ^ g1 , g1160
g78 ^ g05716
g79 ^ g80
g80 ^ g1
g81 ^ g80
g82 ^ g1 , g1212
g83 ^ g82
g84 ^ g82
g86 ^ g1 , g1492
g87 ^ g1 , g1252
g88 ^ g1 , g1223 , g3007
g89 ^ g88
g90 ^ g1 , g1311
g91 ^ g94
g92 ^ g91
g93 ^ g94
g94 ^ g1 , g1349
g95 ^ g94
g96 ^ g1 , g1384
g97 ^ g1 , g1388
g101 ^ g102
g102 ^ g1 , g1415
g105 ^ g109
g106 ^ g1 , g2219
g107 ^ g05809
g108 ^ g0795
g110 ^ g1 , g2288
g111 ^ g1 , g5087
g112 ^ g1 , g2316
g113 ^ g1 , g5087
g114 ^ g1 , g5087
g115 ^ g114
g117 ^ g116
g119 ^ g118
g120 ^ g1 , g2372
g121 ^ g1 , g5087
g123 ^ g251
g124 ^ g125
g126 ^ g104
g127 ^ g1 , g1492
g128 ^ g3700
g130 ^ g129 , g1632
g131 ^ g129 , g4482
g133 ^ g134
g134 ^ g136
g135 ^ g136
g136 ^ g1868
g137 ^ g05869
g138 ^ g142
g139 ^ g138
g140 ^ g138
g141 ^ g140
g144 ^ g143
g145 ^ g143
g146 ^ g150
g147 ^ g146
g148 ^ g150 , g3056
g149 ^ g150
g150 ^ g153
g151 ^ g150
g152 ^ g153
g155 ^ g154
g156 ^ g154
g157 ^ g156
g158 ^ g159
g159 ^ g154
g160 ^ g1 , g1810 , g5316
g161 ^ g164
g162 ^ g164
g163 ^ g164
g164 ^ g259
g165 ^ g104
g166 ^ g165
g167 ^ g169
g168 ^ g169
g169 ^ g1 , g2508
g170 ^ g1 , g2540
g171 ^ g170
g172 ^ g1 , g2556
g173 ^ g188
g174 ^ g173
g175 ^ g1 , g2590
