Clause^WordFunction
40.1:1.w1-w8_2^head head head head head qualifier head qualifier 
40.1:10.w1-w5^head head head specifier head 
40.1:10.w6-w10^head head head specifier head 
40.1:10.w11-w15^head head head specifier head 
40.1:11.w1-w13^head head head specifier head connector specifier head qualifier specifier specifier head qualifier 
40.1:12.w1-w9^specifier head specifier head qualifier head head specifier head 
40.1:12.w1^specifier 
40.1:12.w10-w14^head head head specifier head 
40.1:13.w1-w5^head head head specifier head 
40.1:13.w6-w10^head head head specifier head 
40.1:13.w11-w15^head head head specifier head 
40.1:14.w1-w5^head head head specifier head 
40.1:14.w6-w10^head head head specifier head 
40.1:14.w11-w15^head head head specifier head 
40.1:15.w1-w5^head head head specifier head 
40.1:15.w6-w10^head head head specifier head 
40.1:15.w11-w15^head head head specifier head 
40.1:16.w1-w8^head head head specifier head specifier head qualifier 
40.1:16.w9-w15^specifier head head head specifier head head 
40.1:16.w13-w15^specifier head head 
40.1:17.w1-w10^definer head specifier head specifier head specifier head head definer 
40.1:17.w1^definer 
40.1:17.w11-w19^head specifier head specifier specifier head qualifier head definer 
40.1:17.w20-w29^head specifier specifier head qualifier specifier specifier head head definer 
40.1:18.w1-w8^specifier head head definer specifier head head head 
40.1:18.w1_2^specifier 
40.1:18.w9-w15^head specifier head qualifier definer specifier head 
40.1:18.w16-w19^head head head head 
40.1:18.w21-w26^specifier head head specifier head definer 
40.1:19.w1-w16^head head specifier head qualifier head head head head head head head head head head head 
40.1:19.w1^head 
40.1:19.w6-w7^head head 
40.1:19.w8-w12^head head head head head 
40.1:19.w11-w12^head head 
40.1:19.w14-w16^head head head 
40.1:2.w1-w4^head head specifier head 
40.1:2.w5-w9^head head head specifier head 
40.1:2.w10-w18^head head head specifier head connector specifier head qualifier 
40.1:20.w1-w4^head head head head 
40.1:20.w5_2^head 
40.1:20.w6-w12^head qualifier specifier head head head head 
40.1:20.w12_2^head 
40.1:20.w13-w22^head head qualifier head head head head specifier head qualifier 
40.1:20.w18-w22^head head specifier head qualifier 
40.1:20.w23_2^specifier 
40.1:20.w28-w29^specifier head 
40.1:21.w1-w3^head head head 
40.1:21.w4-w9^head head specifier head qualifier head 
40.1:21.w10-w19^head head head specifier head qualifier specifier specifier head qualifier 
40.1:22.w1-w4^head head definer head 
40.1:22.w1^head 
40.1:22.w5-w14^head head specifier head specifier head specifier specifier head head 
40.1:22.w7-w14^specifier head specifier head specifier specifier head head 
40.1:22.w14_2^head 
40.1:23.w1_2^head 
40.1:23.w2-w6^specifier head specifier head head 
40.1:23.w7-w9^head head head 
40.1:23.w10-w15^head head specifier head qualifier head 
40.1:23.w16-w22^head head head specifier head specifier head 
40.1:23.w18_2^head 
40.1:23.w19-w22^specifier head specifier head 
40.1:24.w1_2^head 
40.1:24.w9-w14^head head head specifier head qualifier 
40.1:24.w15-w19^head head specifier head qualifier 
40.1:25.w1-w8^head head head head specifier head head head 
40.1:25.w5-w8^specifier head head head 
40.1:25.w9-w14^head head specifier head qualifier head 
40.1:3.w1-w11^head head head specifier head connector specifier head specifier specifier head 
40.1:3.w12-w16^head head head specifier head 
40.1:3.w17-w21^head head head specifier head 
