Word Function ^ Morphology ^ Subclause Function ^ Clause Function ^ Gloss
connector ^ conj ^ complement ^ subject ^ including
connector ^ conj ^ complement ^ subject ^ or
connector ^ conj ^ complement ^ subject ^ also
connector ^ conj ^ complement ^ subject ^ both
connector ^ conj ^ complement ^ subject ^ but instead
connector ^ conj ^ complement ^ subject ^ but
connector ^ conj ^ complement ^ subject ^ and then
connector ^ conj ^ complement ^ subject ^ now
connector ^ conj ^ conjunction ^ adjunct ^ and
connector ^ conj ^ conjunction ^ complement ^ and
connector ^ conj ^ conjunction ^ definer ^ and
connector ^ conj ^ conjunction ^ definer ^ but
connector ^ conj ^ conjunction ^ subject ^ and
connector ^ conj ^ conjunction ^ subject ^ or
connector ^ conj ^ definer ^ * ^ and
connector ^ conj ^ definer ^ adjunct ^ and
connector ^ conj ^ definer ^ adjunct ^ or
connector ^ conj ^ definer ^ adjunct ^ both
connector ^ conj ^ definer ^ adjunct ^ also —
connector ^ conj ^ definer ^ adjunct ^ but
connector ^ conj ^ definer ^ adjunct ^ also
connector ^ conj ^ definer ^ adjunct ^ whether
connector ^ conj ^ definer ^ complement ^ and
connector ^ conj ^ definer ^ complement ^ both
connector ^ conj ^ definer ^ complement ^ also
connector ^ conj ^ definer ^ complement ^ or
connector ^ conj ^ definer ^ definer ^ and
connector ^ conj ^ definer ^ definer ^ or
connector ^ conj ^ definer ^ definer ^ also
connector ^ conj ^ definer ^ definer ^ now
connector ^ conj ^ definer ^ qualifier ^ and
connector ^ conj ^ definer ^ subject ^ and
connector ^ conj ^ definer ^ subject ^ whether
connector ^ conj ^ definer ^ subject ^ or
connector ^ conj ^ definer ^ subject ^ or [the]
connector ^ conj ^ definer ^ subject ^ and also
connector ^ conj ^ predicator ^ * ^ and
connector ^ conj ^ predicator ^ adjunct ^ and
connector ^ conj ^ predicator ^ adjunct ^ rather than
connector ^ conj ^ predicator ^ adjunct ^ or
connector ^ conj ^ predicator ^ adjunct ^ both
connector ^ conj ^ predicator ^ adjunct ^ then
connector ^ conj ^ predicator ^ complement ^ and
connector ^ conj ^ predicator ^ complement ^ also
connector ^ conj ^ predicator ^ complement ^ but
connector ^ conj ^ predicator ^ complement ^ or
connector ^ conj ^ predicator ^ definer ^ or
connector ^ conj ^ predicator ^ definer ^ and
connector ^ conj ^ predicator ^ definer ^ but
connector ^ conj ^ predicator ^ definer ^ also
