clause word index ^ length
1156 ^ 3
1159 ^ 5
1825 ^ 3
1828 ^ 3
1831 ^ 6
1837 ^ 4
1841 ^ 7
1848 ^ 8
1856 ^ 6
1862 ^ 9
1871 ^ 2
1873 ^ 2
1875 ^ 6
1881 ^ 2
1886 ^ 4
1890 ^ 8
1898 ^ 11
1909 ^ 4
1913 ^ 3
1916 ^ 7
1923 ^ 12
1935 ^ 4
1939 ^ 2
1941 ^ 8
1949 ^ 3
1952 ^ 12
1964 ^ 8
1973 ^ 4
1977 ^ 2
4319 ^ 2
4321 ^ 4
6416 ^ 4
6420 ^ 3
6423 ^ 4
6427 ^ 2
6429 ^ 5
6434 ^ 2
6436 ^ 6
6442 ^ 2
6445 ^ 2
6447 ^ 5
6452 ^ 8
8322 ^ 3
8326 ^ 4
8330 ^ 3
8333 ^ 7
8340 ^ 3
8343 ^ 4
8348 ^ 3
8351 ^ 4
8355 ^ 8
8363 ^ 5
8369 ^ 6
8375 ^ 2
8377 ^ 3
8380 ^ 3
8383 ^ 2
8385 ^ 2
8387 ^ 7
13558 ^ 5
13563 ^ 2
13565 ^ 2
13567 ^ 5
13572 ^ 2
13574 ^ 3
13577 ^ 6
13583 ^ 7
13590 ^ 2
13592 ^ 7
13599 ^ 2
13601 ^ 4
13605 ^ 5
13610 ^ 5
13615 ^ 4
13619 ^ 7
13626 ^ 6
13632 ^ 6
13639 ^ 5
13644 ^ 5
13649 ^ 6
13655 ^ 2
13657 ^ 3
13660 ^ 4
13664 ^ 4
13668 ^ 8
13676 ^ 3
13679 ^ 7
13686 ^ 2
13688 ^ 5
15607 ^ 2
15611 ^ 2
15613 ^ 4
15618 ^ 2
15620 ^ 2
15622 ^ 2
15624 ^ 4
15629 ^ 3
15632 ^ 4
15637 ^ 5
15642 ^ 3
15645 ^ 10
15655 ^ 2
15657 ^ 6
15663 ^ 3
15666 ^ 7
15673 ^ 8
15681 ^ 2
15683 ^ 4
15689 ^ 4
15693 ^ 2
15695 ^ 4
15700 ^ 4
15704 ^ 4
15708 ^ 4
15712 ^ 4
15717 ^ 4
15722 ^ 11
15733 ^ 4
15737 ^ 3
15741 ^ 3
15744 ^ 8
15752 ^ 3
15755 ^ 6
15761 ^ 2
15763 ^ 4
15767 ^ 2
15769 ^ 8
15777 ^ 4
15782 ^ 7
15789 ^ 6
15795 ^ 3
15798 ^ 14
15812 ^ 3
15815 ^ 2
15817 ^ 5
15822 ^ 2
15824 ^ 2
15826 ^ 4
15830 ^ 7
15837 ^ 2
15839 ^ 9
15848 ^ 3
15851 ^ 4
15855 ^ 6
19601 ^ 2
19603 ^ 2
19605 ^ 3
19608 ^ 5
19613 ^ 3
19616 ^ 4
19620 ^ 3
22882 ^ 2
22884 ^ 5
22889 ^ 6
22895 ^ 2
22897 ^ 6
22903 ^ 3
22906 ^ 8
22914 ^ 3
22917 ^ 2
22919 ^ 3
22922 ^ 4
22926 ^ 5
22931 ^ 4
22935 ^ 3
22938 ^ 3
22941 ^ 13
22954 ^ 3
22957 ^ 5
22962 ^ 7
22970 ^ 8
22978 ^ 7
22986 ^ 2
22988 ^ 18
23006 ^ 6
23012 ^ 3
23015 ^ 5
23021 ^ 15
23037 ^ 5
23043 ^ 5
23048 ^ 3
23052 ^ 3
23055 ^ 6
23061 ^ 7
23068 ^ 3
23071 ^ 3
23074 ^ 3
23077 ^ 4
23081 ^ 4
23085 ^ 3
23089 ^ 3
23093 ^ 3
23097 ^ 4
23101 ^ 8
23109 ^ 3
23112 ^ 2
23347 ^ 2
23349 ^ 3
25674 ^ 3
25677 ^ 6
25684 ^ 5
25689 ^ 3
25692 ^ 2
25694 ^ 4
25699 ^ 3
25702 ^ 9
25711 ^ 5
25716 ^ 4
25721 ^ 5
25727 ^ 2
25729 ^ 6
25735 ^ 8
25743 ^ 5
25748 ^ 3
25751 ^ 7
25758 ^ 2
25760 ^ 3
25763 ^ 2
25765 ^ 10
25775 ^ 6
25781 ^ 7
25788 ^ 2
25790 ^ 3
25793 ^ 3
25796 ^ 2
25798 ^ 7
25805 ^ 4
25809 ^ 4
25814 ^ 5
25819 ^ 3
25823 ^ 5
25828 ^ 2
25830 ^ 2
25832 ^ 3
25836 ^ 5
25841 ^ 3
25844 ^ 3
25847 ^ 7
25855 ^ 5
25860 ^ 7
25867 ^ 2
25870 ^ 3
25873 ^ 2
25875 ^ 4
25879 ^ 3
25882 ^ 3
25885 ^ 2
25887 ^ 3
25890 ^ 3
25895 ^ 5
25900 ^ 14
25914 ^ 5
25919 ^ 6
25925 ^ 11
25936 ^ 3
25939 ^ 5
25944 ^ 7
25951 ^ 3
25954 ^ 2
25956 ^ 3
25959 ^ 4
25963 ^ 3
25966 ^ 3
25969 ^ 5
25974 ^ 4
25978 ^ 3
25981 ^ 3
25984 ^ 2
25986 ^ 4
25991 ^ 4
25996 ^ 6
26002 ^ 4
26006 ^ 3
26009 ^ 5
26014 ^ 4
26019 ^ 4
26023 ^ 2
26025 ^ 5
26030 ^ 4
26034 ^ 5
26039 ^ 2
26041 ^ 4
26045 ^ 3
26048 ^ 3
26051 ^ 3
26054 ^ 3
26057 ^ 4
26061 ^ 2
26063 ^ 8
26071 ^ 10
26082 ^ 3
26085 ^ 3
26088 ^ 7
26095 ^ 2
26097 ^ 2
26099 ^ 3
26102 ^ 2
26104 ^ 3
26107 ^ 3
26110 ^ 3
26113 ^ 3
26116 ^ 2
26118 ^ 5
26124 ^ 5
26129 ^ 2
26131 ^ 5
26136 ^ 5
26142 ^ 2
26144 ^ 5
26150 ^ 3
26153 ^ 6
26159 ^ 7
26167 ^ 4
26171 ^ 5
26176 ^ 5
26182 ^ 2
26184 ^ 2
26186 ^ 5
26191 ^ 4
26195 ^ 6
26201 ^ 2
26203 ^ 2
26205 ^ 4
26209 ^ 2
26211 ^ 6
26218 ^ 3
26221 ^ 10
26231 ^ 4
26236 ^ 3
26239 ^ 2
26241 ^ 3
26244 ^ 6
26250 ^ 6
26256 ^ 8
26265 ^ 3
26268 ^ 2
26271 ^ 3
26274 ^ 2
26276 ^ 6
26282 ^ 3
26285 ^ 3
26288 ^ 2
26290 ^ 3
26293 ^ 3
26296 ^ 7
26303 ^ 4
26308 ^ 2
26310 ^ 3
26313 ^ 4
26317 ^ 6
26323 ^ 4
26327 ^ 5
26332 ^ 2
26334 ^ 3
26337 ^ 3
26341 ^ 4
26345 ^ 5
26350 ^ 3
26353 ^ 4
26357 ^ 7
26364 ^ 6
26370 ^ 3
26373 ^ 5
26379 ^ 4
26383 ^ 5
26388 ^ 2
26390 ^ 3
26393 ^ 4
26397 ^ 6
26403 ^ 6
26409 ^ 3
26412 ^ 5
26418 ^ 2
26420 ^ 4
26424 ^ 4
26428 ^ 4
26432 ^ 4
26436 ^ 5
26441 ^ 5
26446 ^ 2
26448 ^ 2
26450 ^ 7
26457 ^ 2
26459 ^ 2
26461 ^ 11
26472 ^ 5
26478 ^ 12
26490 ^ 4
26496 ^ 2
26499 ^ 4
26503 ^ 2
26507 ^ 6
26513 ^ 2
26515 ^ 3
26518 ^ 3
26521 ^ 3
26524 ^ 2
26526 ^ 7
26533 ^ 29
26562 ^ 2
26564 ^ 6
26570 ^ 6
26576 ^ 5
26581 ^ 2
26583 ^ 3
26586 ^ 3
26589 ^ 6
26596 ^ 17
26613 ^ 9
26622 ^ 5
26627 ^ 3
26630 ^ 2
26632 ^ 5
26637 ^ 8
26645 ^ 4
26649 ^ 2
26652 ^ 4
26656 ^ 4
26660 ^ 4
26664 ^ 6
26670 ^ 8
26678 ^ 5
26683 ^ 4
26687 ^ 10
26697 ^ 5
26702 ^ 4
26707 ^ 7
26714 ^ 6
26720 ^ 4
26724 ^ 2
26726 ^ 18
26744 ^ 6
26750 ^ 4
26754 ^ 4
26759 ^ 5
26764 ^ 8
26772 ^ 5
26778 ^ 7
26785 ^ 3
26789 ^ 6
26795 ^ 3
26798 ^ 7
26805 ^ 2
26807 ^ 5
26812 ^ 2
26814 ^ 5
26819 ^ 6
26825 ^ 4
26829 ^ 4
26833 ^ 6
26839 ^ 6
26845 ^ 2
26847 ^ 5
26852 ^ 5
26857 ^ 5
26862 ^ 7
26869 ^ 4
26873 ^ 11
26884 ^ 11
26895 ^ 2
