clause word index ^ length
285 ^ 4
323 ^ 2
383 ^ 2
402 ^ 2
406 ^ 2
415 ^ 3
479 ^ 3
484 ^ 2
501 ^ 2
586 ^ 2
601 ^ 2
661 ^ 2
803 ^ 2
806 ^ 2
914 ^ 2
975 ^ 3
978 ^ 4
1041 ^ 2
1053 ^ 2
1104 ^ 3
1132 ^ 2
1166 ^ 2
1186 ^ 2
1197 ^ 2
1230 ^ 2
1265 ^ 3
1280 ^ 2
1293 ^ 2
1341 ^ 2
1354 ^ 2
1386 ^ 2
1404 ^ 2
1446 ^ 2
1448 ^ 2
1459 ^ 2
1482 ^ 2
1490 ^ 2
1612 ^ 3
1643 ^ 2
1671 ^ 3
1683 ^ 2
1690 ^ 2
1701 ^ 2
1719 ^ 2
1725 ^ 2
1735 ^ 2
1750 ^ 2
1774 ^ 3
1797 ^ 2
1850 ^ 3
1893 ^ 2
1895 ^ 3
1898 ^ 2
1900 ^ 3
1956 ^ 3
2038 ^ 3
2084 ^ 2
2089 ^ 2
2137 ^ 3
2161 ^ 4
2170 ^ 4
2193 ^ 4
2301 ^ 3
2446 ^ 2
2463 ^ 2
2473 ^ 3
2517 ^ 2
2545 ^ 3
2550 ^ 3
2555 ^ 3
2562 ^ 3
2627 ^ 3
2642 ^ 2
2658 ^ 3
2680 ^ 3
2684 ^ 3
2688 ^ 3
2741 ^ 3
2753 ^ 3
2813 ^ 3
2832 ^ 2
2848 ^ 2
2850 ^ 2
2863 ^ 3
2869 ^ 3
2877 ^ 2
2882 ^ 3
2886 ^ 4
2894 ^ 3
2899 ^ 4
2907 ^ 2
2914 ^ 2
2965 ^ 2
2972 ^ 2
2992 ^ 3
3039 ^ 5
3046 ^ 2
3061 ^ 2
3085 ^ 2
3090 ^ 3
3111 ^ 2
3129 ^ 3
3187 ^ 2
3266 ^ 3
3271 ^ 3
3301 ^ 3
3321 ^ 2
3343 ^ 2
3347 ^ 2
3363 ^ 2
3367 ^ 2
3412 ^ 3
3427 ^ 2
3433 ^ 2
3438 ^ 2
3456 ^ 2
3547 ^ 2
3551 ^ 2
3555 ^ 2
3595 ^ 2
3599 ^ 2
3603 ^ 2
3614 ^ 3
3622 ^ 2
3628 ^ 2
3644 ^ 3
3655 ^ 2
3682 ^ 3
3688 ^ 2
3722 ^ 3
3741 ^ 2
3760 ^ 3
3795 ^ 2
3849 ^ 2
3851 ^ 3
3858 ^ 2
3869 ^ 3
3878 ^ 2
3899 ^ 2
3944 ^ 2
3956 ^ 2
3969 ^ 2
3971 ^ 2
3976 ^ 2
4032 ^ 3
4037 ^ 2
4044 ^ 2
4078 ^ 2
4090 ^ 2
4092 ^ 3
4183 ^ 3
4214 ^ 3
4253 ^ 2
4264 ^ 3
