first word id ^ subclause ^ subclause function ^ length
1 ^ 1:1.w1-w8 ^ subject ^ 1
2 ^ 1:1.w2-w8 ^ qualifier ^ 1
3 ^ 1:1.w3-w8 ^ qualifier ^ 1
4 ^ 1:1.w4-w8 ^ definer ^ 1
5 ^ 1:1.w5-w6 ^ definer ^ 2
7 ^ 1:1.w7-w8 ^ definer ^ 2
9 ^ 1:2.w1 ^ subject ^ 1
10 ^ 1:2.w2 ^ predicator ^ 1
11 ^ 1:2.w3-w4 ^ complement ^ 2
13 ^ 1:2.w5 ^ subject ^ 1
14 ^ 1:2.w6 ^ conjunction ^ 1
15 ^ 1:2.w7 ^ predicator ^ 1
16 ^ 1:2.w8-w9 ^ complement ^ 2
18 ^ 1:2.w10 ^ subject ^ 1
19 ^ 1:2.w11 ^ conjunction ^ 1
20 ^ 1:2.w12 ^ predicator ^ 1
21 ^ 1:2.w13-w14 ^ complement ^ 2
23 ^ 1:2.w15-w18 ^ complement ^ 4
27 ^ 1:3.w1 ^ subject ^ 1
28 ^ 1:3.w2 ^ conjunction ^ 1
29 ^ 1:3.w3 ^ predicator ^ 1
30 ^ 1:3.w4-w5 ^ complement ^ 2
32 ^ 1:3.w6-w8 ^ complement ^ 3
35 ^ 1:3.w9-w11 ^ adjunct ^ 3
38 ^ 1:3.w12 ^ subject ^ 1
39 ^ 1:3.w13 ^ conjunction ^ 1
40 ^ 1:3.w14 ^ predicator ^ 1
41 ^ 1:3.w15-w16 ^ complement ^ 2
43 ^ 1:3.w17 ^ subject ^ 1
44 ^ 1:3.w18 ^ conjunction ^ 1
45 ^ 1:3.w19 ^ predicator ^ 1
46 ^ 1:3.w20-w21 ^ complement ^ 2
48 ^ 1:4.w1 ^ subject ^ 1
49 ^ 1:4.w2 ^ conjunction ^ 1
50 ^ 1:4.w3 ^ predicator ^ 1
51 ^ 1:4.w4-w5 ^ complement ^ 2
53 ^ 1:4.w6 ^ subject ^ 1
54 ^ 1:4.w7 ^ conjunction ^ 1
55 ^ 1:4.w8 ^ predicator ^ 1
56 ^ 1:4.w9-w10 ^ complement ^ 2
58 ^ 1:4.w11 ^ subject ^ 1
59 ^ 1:4.w12 ^ conjunction ^ 1
60 ^ 1:4.w13 ^ predicator ^ 1
61 ^ 1:4.w14-w15 ^ complement ^ 2
63 ^ 1:5.w1 ^ subject ^ 1
64 ^ 1:5.w2 ^ conjunction ^ 1
65 ^ 1:5.w3 ^ predicator ^ 1
66 ^ 1:5.w4-w5 ^ complement ^ 2
68 ^ 1:5.w6-w8 ^ adjunct ^ 3
71 ^ 1:5.w9 ^ subject ^ 1
72 ^ 1:5.w10 ^ conjunction ^ 1
73 ^ 1:5.w11 ^ predicator ^ 1
74 ^ 1:5.w12-w13 ^ complement ^ 2
76 ^ 1:5.w14-w16 ^ adjunct ^ 3
79 ^ 1:5.w17 ^ subject ^ 1
80 ^ 1:5.w18 ^ conjunction ^ 1
81 ^ 1:5.w19 ^ predicator ^ 1
82 ^ 1:5.w20-w21 ^ complement ^ 2
84 ^ 1:6.w1 ^ subject ^ 1
85 ^ 1:6.w2 ^ conjunction ^ 1
86 ^ 1:6.w3 ^ predicator ^ 1
87 ^ 1:6.w4-w7 ^ complement ^ 2
89 ^ 1:6.w6-w7 ^ definer ^ 2
91 ^ 1:6.w8 ^ subject ^ 1
92 ^ 1:6.w9 ^ conjunction ^ 1
93 ^ 1:6.w10 ^ predicator ^ 1
94 ^ 1:6.w11-w12 ^ complement ^ 2
96 ^ 1:6.w13-w16 ^ adjunct ^ 2
98 ^ 1:6.w15-w16 ^ qualifier ^ 2
100 ^ 1:7.w1 ^ subject ^ 1
101 ^ 1:7.w2 ^ conjunction ^ 1
102 ^ 1:7.w3 ^ predicator ^ 1
103 ^ 1:7.w4-w5 ^ complement ^ 2
105 ^ 1:7.w6 ^ subject ^ 1
106 ^ 1:7.w7 ^ conjunction ^ 1
107 ^ 1:7.w8 ^ predicator ^ 1
108 ^ 1:7.w9-w10 ^ complement ^ 2
110 ^ 1:7.w11 ^ subject ^ 1
111 ^ 1:7.w12 ^ conjunction ^ 1
112 ^ 1:7.w13 ^ predicator ^ 1
113 ^ 1:7.w14-w15 ^ complement ^ 2
115 ^ 1:8.w1 ^ subject ^ 1
116 ^ 1:8.w2 ^ conjunction ^ 1
117 ^ 1:8.w3 ^ predicator ^ 1
118 ^ 1:8.w4-w5 ^ complement ^ 2
120 ^ 1:8.w6 ^ subject ^ 1
121 ^ 1:8.w7 ^ conjunction ^ 1
122 ^ 1:8.w8 ^ predicator ^ 1
123 ^ 1:8.w9-w10 ^ complement ^ 2
125 ^ 1:8.w11 ^ subject ^ 1
126 ^ 1:8.w12 ^ conjunction ^ 1
127 ^ 1:8.w13 ^ predicator ^ 1
128 ^ 1:8.w14-w15 ^ complement ^ 2
130 ^ 1:9.w1 ^ subject ^ 1
131 ^ 1:9.w2 ^ conjunction ^ 1
132 ^ 1:9.w3 ^ predicator ^ 1
133 ^ 1:9.w4-w5 ^ complement ^ 2
135 ^ 1:9.w6 ^ subject ^ 1
136 ^ 1:9.w7 ^ conjunction ^ 1
137 ^ 1:9.w8 ^ predicator ^ 1
138 ^ 1:9.w9-w10 ^ complement ^ 2
140 ^ 1:9.w11 ^ subject ^ 1
141 ^ 1:9.w12 ^ conjunction ^ 1
142 ^ 1:9.w13 ^ predicator ^ 1
143 ^ 1:9.w14-w15 ^ complement ^ 2
145 ^ 1:10.w1 ^ subject ^ 1
146 ^ 1:10.w2 ^ conjunction ^ 1
147 ^ 1:10.w3 ^ predicator ^ 1
148 ^ 1:10.w4-w5 ^ complement ^ 2
150 ^ 1:10.w6 ^ subject ^ 1
151 ^ 1:10.w7 ^ conjunction ^ 1
152 ^ 1:10.w8 ^ predicator ^ 1
153 ^ 1:10.w9-w10 ^ complement ^ 2
155 ^ 1:10.w11 ^ subject ^ 1
156 ^ 1:10.w12 ^ conjunction ^ 1
