Clause^ClauseFunction
40.1:1.w1-w8_2^        
40.1:10.w1-w5^     
40.1:10.w6-w10^     
40.1:10.w11-w15^     
40.1:11.w1-w13^             
40.1:12.w1-w9^         
40.1:12.w1^ 
40.1:12.w10-w14^     
40.1:13.w1-w5^     
40.1:13.w6-w10^     
40.1:13.w11-w15^     
40.1:14.w1-w5^     
40.1:14.w6-w10^     
40.1:14.w11-w15^     
40.1:15.w1-w5^     
40.1:15.w6-w10^     
40.1:15.w11-w15^     
40.1:16.w1-w8^        
40.1:16.w9-w15^       
40.1:16.w13-w15^   
40.1:17.w1-w10^          
40.1:17.w1^ 
40.1:17.w11-w19^         
40.1:17.w20-w29^          
40.1:18.w1-w8^        
40.1:18.w1_2^ 
40.1:18.w9-w15^       
40.1:18.w16-w19^adjunct adjunct adjunct adjunct 
40.1:18.w21-w26^adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:19.w1-w16^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:19.w1^adjunct 
40.1:19.w6-w7^adjunct adjunct 
40.1:19.w8-w12^adjunct adjunct adjunct adjunct adjunct 
40.1:19.w11-w12^adjunct adjunct 
40.1:19.w14-w16^adjunct adjunct adjunct 
40.1:2.w1-w4^    
40.1:2.w5-w9^     
40.1:2.w10-w18^         
40.1:20.w1-w4^adjunct adjunct adjunct adjunct 
40.1:20.w5_2^adjunct 
40.1:20.w6-w12^adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:20.w12_2^adjunct 
40.1:20.w13-w22^adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct adjunct 
40.1:20.w18-w22^adjunct adjunct adjunct adjunct adjunct 
40.1:20.w23_2^subject 
40.1:20.w28-w29^subject subject 
40.1:21.w1-w3^subject subject subject 
40.1:21.w4-w9^subject subject subject subject subject subject 
40.1:21.w10-w19^subject subject subject subject subject subject subject subject subject subject 
40.1:22.w1-w4^subject subject subject subject 
40.1:22.w1^subject 
40.1:22.w5-w14^subject subject subject subject subject subject subject subject subject subject 
40.1:22.w7-w14^subject subject subject subject subject subject subject subject 
40.1:22.w14_2^subject 
40.1:23.w1_2^subject 
