first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
27879 ^ 14:26.w2_2 ^ adjunct ^ 1 ^ 7
27886 ^ 14:27.w1-w5 ^ adjunct ^ 1 ^ 5
27891 ^ 14:27.w6-w8 ^ adjunct ^ 1 ^ 3
27894 ^ 14:27.w9-w10 @14:27.w6-w8 ^ adjunct ^ 2 ^ 2
27896 ^ 14:27.w11-w13 @14:27.w9-w10 ^ adjunct ^ 2 ^ 3
27899 ^ 14:27.w14-w17 @14:27.w11-w13 ^ adjunct ^ 2 ^ 4
27903 ^ 14:28.w1-w10 ^ adjunct ^ 1 ^ 1
27904 ^ 14:28.w2-w5 ^ adjunct ^ 1 ^ 9
27913 ^ 14:29.w1-w5 ^ adjunct ^ 1 ^ 2
27915 ^ 14:29.w1 ^ adjunct ^ 1 ^ 3
27918 ^ 14:29.w6-w9 @14:29.w10-w12 ^ adjunct ^ 2 ^ 4
27922 ^ 14:29.w10-w12 ^ adjunct ^ 1 ^ 3
27925 ^ 14:30.w1-w5 ^ adjunct ^ 1 ^ 5
27930 ^ 14:30.w6-w8 ^ adjunct ^ 1 ^ 3
27933 ^ 14:30.w9-w22 ^ adjunct ^ 1 ^ 6
27939 ^ 14:30.w15-w19 @14:30.w9-w22 ^ adjunct ^ 2 ^ 4
27943 ^ 14:30.w15-w16 ^ adjunct ^ 2 ^ 4
27947 ^ 14:31.w1-w4 ^ adjunct ^ 1 ^ 4
27951 ^ 14:31.w5-w9 @14:31.w10-w13 ^ adjunct ^ 2 ^ 2
27953 ^ 14:31.w7-w9 ^ adjunct ^ 1 ^ 3
27956 ^ 14:31.w10-w13 ^ adjunct ^ 1 ^ 4
27960 ^ 14:31.w14-w18 ^ adjunct ^ 1 ^ 5
27965 ^ 14:32.w1-w8 ^ adjunct ^ 1 ^ 4
27969 ^ 14:32.w5-w8 ^ adjunct ^ 1 ^ 4
27973 ^ 14:32.w9-w13 ^ adjunct ^ 1 ^ 5
27978 ^ 14:32.w14-w15 ^ adjunct ^ 1 ^ 2
27980 ^ 14:32.w16-w17 @14:32.w14-w15 ^ adjunct ^ 2 ^ 2
27982 ^ 14:33.w1-w12 ^ adjunct ^ 1 ^ 12
27994 ^ 14:33.w13-w17 ^ adjunct ^ 1 ^ 2
27996 ^ 14:33.w15_2 ^ adjunct ^ 1 ^ 1
27997 ^ 14:33.w16-w17 ^ adjunct ^ 1 ^ 2
27999 ^ 14:34.w1-w3 ^ adjunct ^ 1 ^ 3
28002 ^ 14:34.w4-w10 ^ adjunct ^ 1 ^ 7
28009 ^ 14:34.w11-w12 ^ adjunct ^ 1 ^ 2
28011 ^ 14:34.w13-w14 ^ adjunct ^ 1 ^ 2
28013 ^ 14:35.w1-w7 ^ adjunct ^ 1 ^ 1
28014 ^ 14:35.w2-w3 ^ adjunct ^ 1 ^ 6
28020 ^ 14:35.w8-w9 ^ adjunct ^ 1 ^ 2
28022 ^ 14:35.w10-w13 @14:35.w14-w18 ^ adjunct ^ 3 ^ 4
28026 ^ 14:35.w14-w18 @14:35.w8-w9 ^ adjunct ^ 2 ^ 5
28031 ^ 14:36.w1-w2 ^ adjunct ^ 1 ^ 2
28033 ^ 14:36.w3-w8 ^ adjunct ^ 1 ^ 6
28039 ^ 14:36.w9-w14 ^ adjunct ^ 1 ^ 6
28045 ^ 14:36.w15-w19 ^ adjunct ^ 1 ^ 2
28047 ^ 14:36.w17-w19 ^ adjunct ^ 1 ^ 3
28050 ^ 14:36.w20-w22 ^ adjunct ^ 1 ^ 3
28053 ^ 14:37.w1-w2 ^ adjunct ^ 1 ^ 2
28055 ^ 14:37.w3-w6 ^ adjunct ^ 1 ^ 3
28058 ^ 14:37.w6_2 ^ adjunct ^ 1 ^ 1
28059 ^ 14:37.w7-w10 ^ adjunct ^ 1 ^ 4
28063 ^ 14:37.w11-w12 ^ adjunct ^ 1 ^ 2
28065 ^ 14:37.w13-w17 ^ adjunct ^ 1 ^ 2
28067 ^ 14:37.w15-w17 ^ adjunct ^ 1 ^ 3
28070 ^ 14:38.w1_2 ^ adjunct ^ 1 ^ 1
28071 ^ 14:38.w2-w3 ^ adjunct ^ 1 ^ 2
28073 ^ 14:38.w4-w8 @14:38.w2-w3 ^ adjunct ^ 2 ^ 5
28078 ^ 14:38.w9-w12 ^ adjunct ^ 1 ^ 2
28080 ^ 14:38.w9 ^ adjunct ^ 1 ^ 2
28082 ^ 14:38.w13-w16 ^ adjunct ^ 1 ^ 2
28084 ^ 14:38.w13 ^ adjunct ^ 1 ^ 2
28086 ^ 14:39.w1-w8 ^ adjunct ^ 1 ^ 1
28087 ^ 14:39.w2-w3 ^ adjunct ^ 1 ^ 3
28090 ^ 14:39.w5-w8 ^ adjunct ^ 1 ^ 4
28094 ^ 14:40.w1-w6 ^ adjunct ^ 1 ^ 1
28095 ^ 14:40.w2-w3 ^ adjunct ^ 1 ^ 4
28099 ^ 14:40.w6_2 ^ adjunct ^ 1 ^ 1
28100 ^ 14:40.w7-w12 @14:40.w1-w6 ^ adjunct ^ 2 ^ 5
28105 ^ 14:40.w12_2 ^ adjunct ^ 1 ^ 1
28106 ^ 14:40.w13-w18 ^ adjunct ^ 1 ^ 3
28109 ^ 14:40.w16-w18 ^ adjunct ^ 1 ^ 3
28112 ^ 14:41.w1-w4 ^ adjunct ^ 1 ^ 4
28116 ^ 14:41.w5-w7 ^ adjunct ^ 1 ^ 3
28119 ^ 14:41.w8-w10 ^ adjunct ^ 1 ^ 3
28122 ^ 14:41.w11-w12 ^ adjunct ^ 1 ^ 2
28124 ^ 14:41.w13_2 ^ adjunct ^ 1 ^ 1
28125 ^ 14:41.w14-w16 ^ adjunct ^ 1 ^ 3
28128 ^ 14:41.w17_2 ^ adjunct ^ 1 ^ 1
28129 ^ 14:41.w18-w27 ^ adjunct ^ 1 ^ 10
28139 ^ 14:42.w1_2 ^ adjunct ^ 1 ^ 1
28140 ^ 14:42.w2_2 ^ adjunct ^ 1 ^ 1
28141 ^ 14:42.w3_2 ^ adjunct ^ 1 ^ 1
28142 ^ 14:42.w4-w6 ^ subject ^ 1 ^ 4
28146 ^ 14:43.w1-w5 @14:43.w6-w27 ^ subject ^ 2 ^ 5
28151 ^ 14:43.w6-w27 ^ subject ^ 1 ^ 9
28160 ^ 14:43.w12-w13_2 ^ subject ^ 1 ^ 13
28173 ^ 14:44.w1-w8 ^ subject ^ 1 ^ 2
28175 ^ 14:44.w3-w5 ^ subject ^ 1 ^ 5
28180 ^ 14:44.w8_2 ^ subject ^ 1 ^ 1
28181 ^ 14:44.w9-w11 ^ subject ^ 1 ^ 3
28184 ^ 14:44.w12-w13 ^ subject ^ 1 ^ 2
28186 ^ 14:44.w14-w15 ^ subject ^ 1 ^ 2
28188 ^ 14:44.w16-w18 ^ subject ^ 1 ^ 3
28191 ^ 14:45.w1-w6 ^ subject ^ 1 ^ 1
28192 ^ 14:45.w2_2 ^ subject ^ 1 ^ 1
28193 ^ 14:45.w3-w5 ^ subject ^ 1 ^ 4
28197 ^ 14:45.w7_2 ^ subject ^ 1 ^ 1
28198 ^ 14:45.w8-w10 ^ subject ^ 1 ^ 3
28201 ^ 14:46.w1-w6 ^ subject ^ 1 ^ 6
28207 ^ 14:46.w7-w9 ^ subject ^ 1 ^ 3
28210 ^ 14:47.w1-w13 ^ subject ^ 1 ^ 2
28212 ^ 14:47.w1 ^ subject ^ 1 ^ 1
28213 ^ 14:47.w4-w5_2 ^ subject ^ 1 ^ 2
28215 ^ 14:47.w6-w8 ^ subject ^ 1 ^ 8
28223 ^ 14:47.w14-w18 ^ subject ^ 1 ^ 5
28228 ^ 14:48.w1-w6 ^ subject ^ 1 ^ 1
28229 ^ 14:48.w2_2 ^ subject ^ 1 ^ 5
28234 ^ 14:48.w7-w16 ^ subject ^ 1 ^ 8
28242 ^ 14:48.w15-w16 ^ subject ^ 1 ^ 2
28244 ^ 14:49.w1-w9 ^ subject ^ 1 ^ 8
28252 ^ 14:49.w9_2 ^ subject ^ 1 ^ 1
28253 ^ 14:49.w10-w13 ^ subject ^ 1 ^ 4
28257 ^ 14:49.w14-w18 @14:49.w10-w13 ^ subject ^ 2 ^ 5
28262 ^ 14:50.w1-w5 ^ subject ^ 1 ^ 1
28263 ^ 14:50.w2-w3 ^ subject ^ 1 ^ 4
28267 ^ 14:51.w1-w9 ^ subject ^ 1 ^ 5
28272 ^ 14:51.w6-w9 ^ subject ^ 1 ^ 4
28276 ^ 14:51.w10-w12 ^ subject ^ 1 ^ 3
28279 ^ 14:52.w1-w7 ^ subject ^ 1 ^ 2
28281 ^ 14:52.w3-w5 ^ subject ^ 1 ^ 5
28286 ^ 14:53.w1-w7 ^ subject ^ 1 ^ 7
28293 ^ 14:53.w8-w18 ^ subject ^ 1 ^ 11
28304 ^ 14:54.w1-w14 ^ subject ^ 1 ^ 14
28318 ^ 14:54.w15-w25 ^ subject ^ 1 ^ 2
28320 ^ 14:54.w17-w20 ^ subject ^ 1 ^ 4
28324 ^ 14:54.w21-w25 ^ subject ^ 1 ^ 5
28329 ^ 14:55.w1-w16 ^ subject ^ 1 ^ 2
28331 ^ 14:55.w1_2 ^ subject ^ 1 ^ 10
28341 ^ 14:55.w13-w16 ^ subject ^ 1 ^ 4
28345 ^ 14:55.w17-w19 ^ subject ^ 1 ^ 3
28348 ^ 14:56.w1-w5 ^ subject ^ 1 ^ 5
28353 ^ 14:56.w6-w11 ^ subject ^ 1 ^ 6
28359 ^ 14:57.w1-w7 ^ subject ^ 1 ^ 2
28361 ^ 14:57.w3_2 ^ subject ^ 1 ^ 4
28365 ^ 14:57.w7_2 ^ subject ^ 1 ^ 1
28366 ^ 14:58.w1-w5 ^ subject ^ 1 ^ 4
28370 ^ 14:58.w5_2 ^ subject ^ 1 ^ 1
28371 ^ 14:58.w6-w13 ^ subject ^ 1 ^ 8
28379 ^ 14:58.w14-w20 ^ subject ^ 1 ^ 7
28386 ^ 14:59.w1-w8 ^ subject ^ 1 ^ 8
28394 ^ 14:60.w1-w10 ^ subject ^ 1 ^ 1
28395 ^ 14:60.w2_2 ^ subject ^ 1 ^ 8
28403 ^ 14:60.w10_2 ^ subject ^ 1 ^ 1
28404 ^ 14:60.w11-w13 ^ subject ^ 1 ^ 3
28407 ^ 14:60.w14-w17 ^ subject ^ 1 ^ 4
28411 ^ 14:61.w1-w3 ^ subject ^ 1 ^ 3
28414 ^ 14:61.w4-w7 ^ subject ^ 1 ^ 4
28418 ^ 14:61.w8-w12 ^ subject ^ 1 ^ 5
28423 ^ 14:61.w13-w15 ^ subject ^ 1 ^ 3
28426 ^ 14:61.w16-w23 ^ subject ^ 1 ^ 8
28434 ^ 14:62.w1-w4 ^ subject ^ 1 ^ 2
28436 ^ 14:62.w1 ^ subject ^ 1 ^ 2
28438 ^ 14:62.w5-w6 ^ subject ^ 1 ^ 2
28440 ^ 14:62.w7-w24 ^ subject ^ 1 ^ 6
28446 ^ 14:62.w13-w17 ^ subject ^ 1 ^ 3
28449 ^ 14:62.w13-w14 ^ subject ^ 1 ^ 2
28451 ^ 14:62.w18-w24 ^ subject ^ 1 ^ 7
28458 ^ 14:63.w1-w8 ^ subject ^ 1 ^ 2
28460 ^ 14:63.w1 ^ subject ^ 1 ^ 1
28461 ^ 14:63.w4-w7 ^ subject ^ 1 ^ 5
28466 ^ 14:63.w9-w13 ^ subject ^ 1 ^ 4
28470 ^ 14:63.w11 ^ subject ^ 1 ^ 1
28471 ^ 14:64.w1-w3 ^ subject ^ 1 ^ 3
28474 ^ 14:64.w4-w6 ^ subject ^ 1 ^ 3
28477 ^ 14:64.w7-w14 ^ subject ^ 1 ^ 2
28479 ^ 14:64.w7 ^ subject ^ 1 ^ 2
28481 ^ 14:64.w11-w14 ^ subject ^ 1 ^ 3
28484 ^ 14:64.w12 ^ subject ^ 1 ^ 1
28485 ^ 14:65.w1-w16 ^ subject ^ 1 ^ 3
28488 ^ 14:65.w4-w5 ^ subject ^ 1 ^ 2
28490 ^ 14:65.w6-w10 ^ subject ^ 1 ^ 5
28495 ^ 14:65.w11-w13 ^ subject ^ 1 ^ 3
28498 ^ 14:65.w14-w16 ^ subject ^ 1 ^ 3
28501 ^ 14:65.w17_2 ^ subject ^ 1 ^ 1
28502 ^ 14:65.w18-w23 ^ subject ^ 1 ^ 6
28508 ^ 14:66.w1-w8 @14:66.w9-w14 ^ subject ^ 2 ^ 8
28516 ^ 14:66.w9-w14 ^ subject ^ 1 ^ 6
28522 ^ 14:67.w1-w8 ^ subject ^ 1 ^ 1
28523 ^ 14:67.w2-w5 ^ subject ^ 1 ^ 3
28526 ^ 14:67.w5_2 ^ subject ^ 1 ^ 1
28527 ^ 14:67.w6-w7 ^ subject ^ 1 ^ 3
28530 ^ 14:67.w9-w16 ^ subject ^ 1 ^ 6
28536 ^ 14:67.w11-w13 ^ subject ^ 1 ^ 2
28538 ^ 14:68.w1-w4 ^ subject ^ 1 ^ 3
28541 ^ 14:68.w4_2 ^ subject ^ 1 ^ 1
28542 ^ 14:68.w5-w6 ^ subject ^ 1 ^ 2
28544 ^ 14:68.w7-w8 ^ subject ^ 1 ^ 2
28546 ^ 14:68.w9-w11 @14:68.w7-w8 ^ subject ^ 2 ^ 3
28549 ^ 14:68.w12-w17 ^ subject ^ 1 ^ 6
28555 ^ 14:68.w18-w20 ^ subject ^ 1 ^ 3
28558 ^ 14:69.w1-w10 ^ subject ^ 1 ^ 3
28561 ^ 14:69.w4-w5 ^ subject ^ 1 ^ 3
28564 ^ 14:69.w7-w10 ^ subject ^ 1 ^ 2
28566 ^ 14:69.w9-w10_2 ^ subject ^ 1 ^ 2
28568 ^ 14:69.w11-w15 ^ subject ^ 1 ^ 5
28573 ^ 14:70.w1-w4 ^ subject ^ 1 ^ 4
28577 ^ 14:70.w5-w13 ^ subject ^ 1 ^ 4
28581 ^ 14:70.w9-w10_2 ^ subject ^ 1 ^ 5
28586 ^ 14:70.w14-w17 ^ subject ^ 1 ^ 4
28590 ^ 14:70.w18-w21 ^ subject ^ 1 ^ 4
28594 ^ 14:71.w1-w6 ^ subject ^ 1 ^ 3
28597 ^ 14:71.w4_2 ^ subject ^ 1 ^ 1
28598 ^ 14:71.w5-w6 ^ subject ^ 1 ^ 2
28600 ^ 14:71.w7-w14 ^ subject ^ 1 ^ 6
28606 ^ 14:71.w13-w14 ^ subject ^ 1 ^ 2
28608 ^ 14:72.w1-w6 ^ subject ^ 1 ^ 6
28614 ^ 14:72.w7-w12 ^ subject ^ 1 ^ 6
28620 ^ 14:72.w13-w17 @14:72.w7-w12 ^ subject ^ 2 ^ 5
28625 ^ 14:72.w18-w22 @14:72.w23-w25 ^ subject ^ 3 ^ 5
28630 ^ 14:72.w23-w25 @14:72.w13-w17 ^ subject ^ 2 ^ 3
28633 ^ 14:72.w26-w28 ^ subject ^ 1 ^ 1
28634 ^ 14:72.w27_2 ^ subject ^ 1 ^ 2
28636 ^ 15:1.w1-w20 ^ subject ^ 1 ^ 3
28639 ^ 15:1.w4-w5 ^ subject ^ 1 ^ 13
28652 ^ 15:1.w17-w19 ^ subject ^ 1 ^ 4
28656 ^ 15:1.w21-w23 ^ subject ^ 1 ^ 3
28659 ^ 15:2.w1-w5 ^ subject ^ 1 ^ 5
28664 ^ 15:2.w6-w11 ^ subject ^ 1 ^ 6
28670 ^ 15:2.w12-w16 ^ subject ^ 1 ^ 2
28672 ^ 15:2.w14_2 ^ subject ^ 1 ^ 3
28675 ^ 15:2.w17-w18 ^ subject ^ 1 ^ 2
28677 ^ 15:3.w1-w6 ^ subject ^ 1 ^ 6
28683 ^ 15:4.w1-w7 ^ subject ^ 1 ^ 2
28685 ^ 15:4.w1 ^ subject ^ 1 ^ 4
28689 ^ 15:4.w7_2 ^ subject ^ 1 ^ 1
28690 ^ 15:4.w8-w10 ^ subject ^ 1 ^ 3
28693 ^ 15:4.w11_2 ^ subject ^ 1 ^ 1
28694 ^ 15:4.w12-w14 ^ subject ^ 1 ^ 3
28697 ^ 15:5.w1-w6 ^ subject ^ 1 ^ 2
28699 ^ 15:5.w1 ^ subject ^ 1 ^ 4
28703 ^ 15:5.w7-w10 @15:5.w1-w6 ^ subject ^ 2 ^ 4
28707 ^ 15:6.w1-w9 ^ subject ^ 1 ^ 2
28709 ^ 15:6.w1 ^ subject ^ 1 ^ 5
28714 ^ 15:6.w8-w9 ^ subject ^ 1 ^ 2
28716 ^ 15:7.w1-w9 ^ subject ^ 1 ^ 2
28718 ^ 15:7.w3-w5 ^ subject ^ 1 ^ 3
28721 ^ 15:7.w6-w9 ^ subject ^ 1 ^ 4
28725 ^ 15:7.w10-w15 @15:7.w1-w9 ^ subject ^ 2 ^ 6
28731 ^ 15:8.w1-w6 ^ subject ^ 1 ^ 1
28732 ^ 15:8.w2_2 ^ subject ^ 1 ^ 4
28736 ^ 15:8.w6_2 ^ subject ^ 1 ^ 1
28737 ^ 15:8.w7-w9 @15:8.w1-w6 ^ subject ^ 2 ^ 3
28740 ^ 15:9.w1-w6 ^ subject ^ 1 ^ 2
28742 ^ 15:9.w1 ^ subject ^ 1 ^ 3
28745 ^ 15:9.w6_2 ^ subject ^ 1 ^ 1
28746 ^ 15:9.w7_2 ^ subject ^ 1 ^ 1
28747 ^ 15:9.w8-w13 @15:9.w7_2 ^ subject ^ 2 ^ 6
28753 ^ 15:10.w1-w2 @15:9.w1-w6 ^ subject ^ 2 ^ 2
28755 ^ 15:10.w3-w9 @15:10.w1-w2 ^ subject ^ 3 ^ 7
28762 ^ 15:11.w1-w6 ^ subject ^ 1 ^ 2
28764 ^ 15:11.w1 ^ subject ^ 1 ^ 4
28768 ^ 15:11.w7-w12 @15:11.w1-w6 ^ subject ^ 2 ^ 6
28774 ^ 15:12.w1-w7 ^ subject ^ 1 ^ 2
28776 ^ 15:12.w1 ^ subject ^ 1 ^ 1
28777 ^ 15:12.w4-w5 ^ subject ^ 1 ^ 4
28781 ^ 15:12.w8-w10 ^ subject ^ 1 ^ 3
28784 ^ 15:12.w11-w17 @15:12.w8-w10 ^ subject ^ 2 ^ 1
28785 ^ 15:12.w12-w17 ^ subject ^ 1 ^ 6
28791 ^ 15:13.w1-w4 ^ subject ^ 1 ^ 4
28795 ^ 15:13.w5-w6 ^ subject ^ 1 ^ 2
28797 ^ 15:14.w1-w5 ^ subject ^ 1 ^ 2
28799 ^ 15:14.w1 ^ subject ^ 1 ^ 3
28802 ^ 15:14.w6-w9 ^ subject ^ 1 ^ 3
28805 ^ 15:14.w6 ^ subject ^ 1 ^ 1
28806 ^ 15:14.w10-w13 ^ subject ^ 1 ^ 4
28810 ^ 15:14.w14-w15 ^ subject ^ 1 ^ 2
28812 ^ 15:15.w1-w13 ^ subject ^ 1 ^ 2
28814 ^ 15:15.w1 ^ subject ^ 1 ^ 1
28815 ^ 15:15.w4-w9 ^ subject ^ 1 ^ 1
28816 ^ 15:15.w5-w9 ^ subject ^ 1 ^ 9
28825 ^ 15:15.w14-w18 ^ subject ^ 1 ^ 4
28829 ^ 15:15.w18_2 ^ subject ^ 1 ^ 1
28830 ^ 15:15.w19-w20 @15:15.w14-w18 ^ subject ^ 2 ^ 2
28832 ^ 15:16.w1-w8 ^ subject ^ 1 ^ 2
28834 ^ 15:16.w1 ^ subject ^ 1 ^ 6
28840 ^ 15:16.w9-w11 @15:16.w1-w8 ^ subject ^ 2 ^ 3
28843 ^ 15:16.w12-w16 ^ subject ^ 1 ^ 5
28848 ^ 15:17.w1-w4 ^ subject ^ 1 ^ 4
28852 ^ 15:17.w5-w10 ^ subject ^ 1 ^ 3
28855 ^ 15:17.w8-w10 ^ subject ^ 1 ^ 3
28858 ^ 15:18.w1-w4 ^ subject ^ 1 ^ 2
28860 ^ 15:18.w3-w4 ^ subject ^ 1 ^ 2
28862 ^ 15:18.w5-w8 ^ subject ^ 1 ^ 4
28866 ^ 15:19.w1-w6 ^ subject ^ 1 ^ 6
28872 ^ 15:19.w7-w9 ^ subject ^ 1 ^ 3
28875 ^ 15:19.w10-w15 ^ subject ^ 1 ^ 1
28876 ^ 15:19.w11-w13 ^ subject ^ 1 ^ 5
28881 ^ 15:20.w1-w4 @15:20.w5-w8 ^ subject ^ 2 ^ 4
28885 ^ 15:20.w5-w8 ^ subject ^ 1 ^ 4
28889 ^ 15:20.w9-w14 ^ subject ^ 1 ^ 6
28895 ^ 15:20.w15-w17 ^ subject ^ 1 ^ 3
28898 ^ 15:20.w18-w20 @15:20.w15-w17 ^ subject ^ 2 ^ 3
28901 ^ 15:21.w1-w14 ^ subject ^ 1 ^ 2
28903 ^ 15:21.w3-w14_2 ^ subject ^ 1 ^ 4
28907 ^ 15:21.w7-w9 ^ subject ^ 1 ^ 8
28915 ^ 15:21.w15-w19 @15:21.w1-w14 ^ subject ^ 2 ^ 5
28920 ^ 15:22.w1-w7 ^ subject ^ 1 ^ 7
28927 ^ 15:22.w8-w12 @15:22.w1-w7 ^ subject ^ 2 ^ 2
28929 ^ 15:22.w10-w12 ^ subject ^ 1 ^ 3
28932 ^ 15:23.w1-w5 ^ subject ^ 1 ^ 3
28935 ^ 15:23.w4_2 ^ subject ^ 1 ^ 2
28937 ^ 15:23.w6-w9 @15:23.w1-w5 ^ subject ^ 2 ^ 4
28941 ^ 15:24.w1-w3 ^ subject ^ 1 ^ 3
28944 ^ 15:24.w4-w12 ^ subject ^ 1 ^ 5
28949 ^ 15:24.w9-w12 ^ subject ^ 1 ^ 4
28953 ^ 15:24.w13-w15 ^ subject ^ 1 ^ 3
28956 ^ 15:25.w1-w4 ^ subject ^ 1 ^ 4
28960 ^ 15:25.w5-w7 ^ subject ^ 1 ^ 3
28963 ^ 15:26.w1-w8 ^ subject ^ 1 ^ 7
28970 ^ 15:26.w8_2 ^ subject ^ 1 ^ 1
28971 ^ 15:26.w9-w12_2 ^ subject ^ 1 ^ 4
28975 ^ 15:27.w1-w14 ^ subject ^ 1 ^ 14
28989 ^ 15:29.w1-w11 ^ subject ^ 1 ^ 1
28990 ^ 15:29.w2-w3_2 ^ subject ^ 1 ^ 4
28994 ^ 15:29.w6-w9 ^ subject ^ 1 ^ 4
28998 ^ 15:29.w10-w11 ^ subject ^ 1 ^ 2
29000 ^ 15:29.w12_2 ^ subject ^ 1 ^ 1
29001 ^ 15:29.w13-w16 ^ subject ^ 1 ^ 4
29005 ^ 15:29.w17-w21 ^ subject ^ 1 ^ 5
29010 ^ 15:30.w1-w6 ^ subject ^ 1 ^ 2
29012 ^ 15:30.w3-w6 ^ subject ^ 1 ^ 4
29016 ^ 15:31.w1-w11 ^ subject ^ 1 ^ 4
29020 ^ 15:31.w5-w7 ^ subject ^ 1 ^ 7
29027 ^ 15:31.w12-w13 ^ subject ^ 1 ^ 2
29029 ^ 15:31.w14_2 ^ complement ^ 1 ^ 4
29033 ^ 15:32.w1-w10 ^ complement ^ 1 ^ 10
29043 ^ 15:32.w11-w12 @15:32.w1-w10 ^ complement ^ 2 ^ 2
29045 ^ 15:32.w13-w14 @15:32.w11-w12 ^ complement ^ 2 ^ 2
29047 ^ 15:32.w15-w21 ^ complement ^ 1 ^ 1
29048 ^ 15:32.w16-w19 ^ complement ^ 1 ^ 6
29054 ^ 15:33.w1-w4 @15:33.w5-w13 ^ complement ^ 2 ^ 4
29058 ^ 15:33.w5-w13 ^ complement ^ 1 ^ 9
29067 ^ 15:34.w1-w9 ^ complement ^ 1 ^ 9
29076 ^ 15:34.w10-w13_2 ^ complement ^ 1 ^ 4
29080 ^ 15:34.w14-w26 @15:34.w10-w13_2 ^ complement ^ 2 ^ 2
29082 ^ 15:34.w16_2 ^ complement ^ 1 ^ 1
29083 ^ 15:34.w17-w26 ^ complement ^ 1 ^ 10
29093 ^ 15:35.w1-w6 ^ complement ^ 1 ^ 2
29095 ^ 15:35.w3-w4_2 ^ complement ^ 1 ^ 2
29097 ^ 15:35.w5_2 ^ complement ^ 1 ^ 2
29099 ^ 15:35.w7_2 ^ complement ^ 1 ^ 1
29100 ^ 15:35.w8-w9 ^ complement ^ 1 ^ 2
29102 ^ 15:36.w1_2 ^ adjunct ^ 1 ^ 3
29105 ^ 15:36.w4-w7 ^ adjunct ^ 1 ^ 4
29109 ^ 15:36.w8-w9 ^ adjunct ^ 1 ^ 4
29113 ^ 15:36.w12_2 ^ adjunct ^ 1 ^ 1
29114 ^ 15:36.w13_2 ^ adjunct ^ 1 ^ 1
29115 ^ 15:36.w14_2 ^ adjunct ^ 1 ^ 1
29116 ^ 15:36.w15-w19 @15:36.w14_2 ^ adjunct ^ 2 ^ 3
29119 ^ 15:36.w18-w19 ^ adjunct ^ 1 ^ 2
29121 ^ 15:37.w1-w7 ^ adjunct ^ 1 ^ 2
29123 ^ 15:37.w1 ^ adjunct ^ 1 ^ 1
29124 ^ 15:37.w4-w6 ^ adjunct ^ 1 ^ 4
29128 ^ 15:38.w1-w12 ^ adjunct ^ 1 ^ 12
29140 ^ 15:39.w1_2 ^ adjunct ^ 1 ^ 4
29144 ^ 15:39.w5-w9 ^ adjunct ^ 1 ^ 5
29149 ^ 15:39.w10-w12 ^ adjunct ^ 1 ^ 4
29153 ^ 15:39.w14-w20 ^ adjunct ^ 1 ^ 7
29160 ^ 15:40.w1-w7 ^ adjunct ^ 1 ^ 4
29164 ^ 15:40.w5-w7 ^ adjunct ^ 1 ^ 3
29167 ^ 15:40.w8-41.w19 @15:40.w1-w7 ^ adjunct ^ 2 ^ 17
29184 ^ 15:41.w1-w8 ^ adjunct ^ 1 ^ 1
29185 ^ 15:41.w2-w6 ^ adjunct ^ 1 ^ 7
29192 ^ 15:41.w9-w11 ^ adjunct ^ 1 ^ 6
29198 ^ 15:41.w15-w19 ^ adjunct ^ 1 ^ 5
29203 ^ 15:42.w1-w4 @15:43.w1-w21 ^ adjunct ^ 2 ^ 4
29207 ^ 15:42.w5-w7 @15:43.w1-w21 ^ adjunct ^ 2 ^ 3
29210 ^ 15:42.w8-w10 @15:42.w5-w7 ^ adjunct ^ 3 ^ 3
29213 ^ 15:43.w1_2 ^ adjunct ^ 1 ^ 7
29220 ^ 15:43.w8-w16 ^ adjunct ^ 1 ^ 2
29222 ^ 15:43.w8 ^ adjunct ^ 1 ^ 2
29224 ^ 15:43.w12-w16 ^ adjunct ^ 1 ^ 5
29229 ^ 15:43.w17_2 ^ adjunct ^ 1 ^ 5
29234 ^ 15:43.w22-w27 ^ adjunct ^ 1 ^ 6
29240 ^ 15:44.w1-w4 ^ adjunct ^ 1 ^ 2
29242 ^ 15:44.w1 ^ adjunct ^ 1 ^ 2
29244 ^ 15:44.w5-w7 @15:44.w1-w4 ^ adjunct ^ 2 ^ 3
29247 ^ 15:44.w8-w13 ^ adjunct ^ 1 ^ 1
29248 ^ 15:44.w9-w11 ^ adjunct ^ 1 ^ 5
29253 ^ 15:44.w14-w16 @15:44.w8-w13 ^ adjunct ^ 2 ^ 3
29256 ^ 15:45.w1-w10 ^ adjunct ^ 1 ^ 1
29257 ^ 15:45.w2-w5 ^ adjunct ^ 1 ^ 9
29266 ^ 15:46.w1-w8 ^ adjunct ^ 1 ^ 1
29267 ^ 15:46.w2-w3 ^ adjunct ^ 1 ^ 2
29269 ^ 15:46.w4-w5 ^ adjunct ^ 1 ^ 5
29274 ^ 15:46.w9-w18 ^ adjunct ^ 1 ^ 5
29279 ^ 15:46.w14-w18 ^ adjunct ^ 1 ^ 2
29281 ^ 15:46.w16-w18 ^ adjunct ^ 1 ^ 3
29284 ^ 15:46.w19-w26 ^ adjunct ^ 1 ^ 8
29292 ^ 15:47.w1-w10 ^ adjunct ^ 1 ^ 2
29294 ^ 15:47.w1_2 ^ adjunct ^ 1 ^ 8
