first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
397 ^ 1:23.w16-w22 @1:23.w10-w15 ^ subject ^ 3 ^ 2
399 ^ 1:23.w18_2 ^ subject ^ 1 ^ 1
400 ^ 1:23.w19-w22 ^ subject ^ 1 ^ 4
404 ^ 1:24.w1_2 ^ adjunct ^ 1 ^ 8
412 ^ 1:24.w9-w14 @1:24.w1-w8 ^ adjunct ^ 2 ^ 6
418 ^ 1:24.w15-w19 @1:24.w1-w8 ^ adjunct ^ 1 ^ 5
423 ^ 1:25.w1-w8 @1:24.w15-w19 ^ adjunct ^ 1 ^ 4
427 ^ 1:25.w5-w8 ^ adjunct ^ 1 ^ 4
431 ^ 1:25.w9-w14 @1:25.w1-w8 ^ adjunct ^ 1 ^ 6
437 ^ 2:1.w1-w13 @2:1.w14_2 ^ adjunct ^ 2 ^ 2
439 ^ 2:1.w1 ^ adjunct ^ 2 ^ 11
450 ^ 2:1.w14_2 ^ adjunct ^ 1 ^ 1
451 ^ 2:1.w15-2.w1 @2:1.w14_2 ^ adjunct ^ 1 ^ 6
457 ^ 2:2.w1_2 ^ adjunct ^ 1 ^ 1
458 ^ 2:2.w2-w8 @2:1.w15-2.w1 ^ adjunct ^ 1 ^ 3
461 ^ 2:2.w5_2 ^ adjunct ^ 1 ^ 4
465 ^ 2:2.w9-w16 @2:2.w2-w8 ^ adjunct ^ 1 ^ 8
473 ^ 2:2.w17-w20 @2:2.w9-w16 ^ adjunct ^ 1 ^ 2
475 ^ 2:2.w19-w20 ^ adjunct ^ 1 ^ 2
477 ^ 2:3.w1_2 ^ adjunct ^ 1 ^ 6
483 ^ 2:3.w7-w11 @2:3.w1-w6 ^ adjunct ^ 1 ^ 5
488 ^ 2:4.w1-w16 @2:3.w7-w11 ^ adjunct ^ 1 ^ 1
489 ^ 2:4.w2-w9 ^ adjunct ^ 1 ^ 11
500 ^ 2:4.w13-w16 ^ adjunct ^ 1 ^ 4
504 ^ 2:5.w1-w4 @2:4.w1-w16 ^ adjunct ^ 1 ^ 4
508 ^ 2:5.w5-w8_2 @2:5.w1-w4 ^ adjunct ^ 1 ^ 4
512 ^ 2:5.w9-w14 @2:5.w5-w8_2 ^ adjunct ^ 1 ^ 6
518 ^ 2:6.w1-w12 @2:5.w9-w14 ^ adjunct ^ 1 ^ 12
530 ^ 2:6.w13-w24 @2:6.w1-w12 ^ adjunct ^ 1 ^ 4
534 ^ 2:6.w17-w24_2 ^ adjunct ^ 1 ^ 1
535 ^ 2:6.w18-w24 ^ adjunct ^ 1 ^ 7
542 ^ 2:7.w1-w14 @2:5.w1-w4 ^ adjunct ^ 1 ^ 2
544 ^ 2:7.w3-w6 ^ adjunct ^ 1 ^ 10
554 ^ 2:7.w13_2 ^ adjunct ^ 1 ^ 2
556 ^ 2:8.w1-w6 @2:7.w1-w14 ^ adjunct ^ 1 ^ 1
557 ^ 2:8.w2-w5 ^ adjunct ^ 1 ^ 5
562 ^ 2:8.w7_2 ^ adjunct ^ 1 ^ 6
568 ^ 2:8.w13-w15 @2:8.w16-w17 ^ adjunct ^ 2 ^ 3
571 ^ 2:8.w16-w17 @2:8.w7-w12 ^ adjunct ^ 1 ^ 2
573 ^ 2:8.w18-w22 @2:8.w16-w17 ^ adjunct ^ 2 ^ 2
575 ^ 2:8.w20_2 ^ adjunct ^ 1 ^ 3
578 ^ 2:9.w1-w6 @2:8.w1-w6 ^ adjunct ^ 1 ^ 2
580 ^ 2:9.w3-w5 ^ adjunct ^ 1 ^ 4
584 ^ 2:9.w7-w8 @2:9.w1-w6 ^ adjunct ^ 1 ^ 2
586 ^ 2:9.w9-w17 @2:9.w7-w8 ^ adjunct ^ 1 ^ 2
588 ^ 2:9.w11-w15 ^ adjunct ^ 1 ^ 7
595 ^ 2:9.w18-w25 @2:9.w9-w17 ^ adjunct ^ 2 ^ 1
596 ^ 2:9.w19_2 ^ adjunct ^ 1 ^ 2
598 ^ 2:9.w21-w25 ^ adjunct ^ 1 ^ 5
603 ^ 2:10.w1-w4 ^ adjunct ^ 1 ^ 8
611 ^ 2:11.w1-w13 @2:10.w1-w8 ^ adjunct ^ 1 ^ 1
612 ^ 2:11.w2-w5 ^ adjunct ^ 1 ^ 12
624 ^ 2:11.w14-w17 @2:11.w1-w13 ^ adjunct ^ 1 ^ 1
625 ^ 2:11.w15_2 ^ adjunct ^ 1 ^ 3
628 ^ 2:11.w18-w30 @2:11.w14-w17 ^ adjunct ^ 1 ^ 1
629 ^ 2:11.w19-w22 ^ adjunct ^ 1 ^ 12
641 ^ 2:12.w1-w16 @2:11.w18-w30 ^ adjunct ^ 1 ^ 1
642 ^ 2:12.w2-w8 ^ adjunct ^ 1 ^ 3
645 ^ 2:12.w5-w8 ^ adjunct ^ 1 ^ 12
657 ^ 2:13.w1-w3 ^ adjunct ^ 1 ^ 3
660 ^ 2:13.w4_2 @2:12.w1-w16 ^ adjunct ^ 1 ^ 1
661 ^ 2:13.w5-w12 @2:13.w4_2 ^ adjunct ^ 1 ^ 7
668 ^ 2:13.w12_2 ^ adjunct ^ 1 ^ 1
669 ^ 2:13.w13_2 ^ adjunct ^ 1 ^ 8
677 ^ 2:13.w21-w24 @2:13.w13-w20 ^ adjunct ^ 1 ^ 4
681 ^ 2:13.w25-w27 @2:13.w21-w24 ^ adjunct ^ 1 ^ 3
684 ^ 2:13.w28-w31 @2:13.w25-w27 ^ adjunct ^ 2 ^ 4
688 ^ 2:13.w32-w40 @2:13.w25-w27 ^ adjunct ^ 1 ^ 3
691 ^ 2:13.w35-w40 ^ adjunct ^ 1 ^ 3
694 ^ 2:13.w38-w40 ^ adjunct ^ 1 ^ 3
697 ^ 2:14.w1-w11 @2:13.w5-w12 ^ adjunct ^ 1 ^ 2
699 ^ 2:14.w3_2 ^ adjunct ^ 1 ^ 9
708 ^ 2:14.w12-w15 @2:14.w1-w11 ^ adjunct ^ 1 ^ 4
712 ^ 2:15.w1-w7 @2:14.w12-w15 ^ adjunct ^ 1 ^ 7
719 ^ 2:15.w8-w17 @2:15.w1-w7 ^ adjunct ^ 2 ^ 2
721 ^ 2:15.w10-w17 ^ adjunct ^ 1 ^ 7
728 ^ 2:15.w17_2 ^ adjunct ^ 1 ^ 1
729 ^ 2:15.w18-w23 @2:15.w8-w17 ^ adjunct ^ 2 ^ 6
735 ^ 2:16.w1-w10 @2:15.w1-w7 ^ adjunct ^ 1 ^ 2
737 ^ 2:16.w3_2 ^ adjunct ^ 1 ^ 1
738 ^ 2:16.w4-w8 ^ adjunct ^ 1 ^ 7
745 ^ 2:16.w11-w37 @2:16.w1-w10 ^ adjunct ^ 1 ^ 1
746 ^ 2:16.w12_2 ^ adjunct ^ 1 ^ 21
767 ^ 2:16.w33-w37 ^ adjunct ^ 1 ^ 5
772 ^ 2:17.w1-w9 @2:16.w11-w37 ^ adjunct ^ 1 ^ 2
774 ^ 2:17.w3-w9 ^ adjunct ^ 1 ^ 6
780 ^ 2:17.w9_2 ^ adjunct ^ 1 ^ 1
781 ^ 2:18.w1-w8 @2:17.w1-w9 ^ adjunct ^ 1 ^ 4
785 ^ 2:18.w1_2 ^ adjunct ^ 1 ^ 4
789 ^ 2:18.w9-w13 @2:18.w1-w8 ^ adjunct ^ 1 ^ 5
794 ^ 2:18.w14-w17 @2:18.w9-w13 ^ adjunct ^ 1 ^ 3
797 ^ 2:18.w17_2 ^ adjunct ^ 1 ^ 1
