Gloss ^ Subclause Function ^ Count
- ^ conjunction ^ 625
- ^ predicator ^ 124
- ^ adjunct ^ 106
- ^ relator ^ 79
- ^ complement ^ 37
- ^ subject ^ 23
- ^ qualifier ^ 7
- ^ definer ^ 4
-, ^ subject ^ 35
-, ^ predicator ^ 31
-, ^ adjunct ^ 24
-, ^ complement ^ 22
-, ^ conjunction ^ 7
-, therefore indeed, ^ conjunction ^ 1
-: ^ adjunct ^ 9
-: ^ subject ^ 6
-: ^ complement ^ 5
-: ^ predicator ^ 5
-: ^ conjunction ^ 1
-: why ^ predicator ^ 1
‘yes, ^ subject ^ 1
[a certain] jew, ^ adjunct ^ 1
[a place of] prayer ^ predicator ^ 1
[a] city ^ adjunct ^ 1
[a] crowd ^ complement ^ 1
[a] great ^ conjunction ^ 1
[a] spirit ^ qualifier ^ 1
[a] tomb. ^ conjunction ^ 1
[also] the things ^ adjunct ^ 1
[am] holy ^ conjunction ^ 1
[am] humble ^ adjunct ^ 1
[an] inheritance ^ predicator ^ 1
[and] ‘no, ^ complement ^ 1
[and] constant frictions ^ predicator ^ 1
[and] disciplined; ^ predicator ^ 1
[and] exhort, ^ adjunct ^ 1
[and] father ^ qualifier ^ 1
[and] gave ^ complement ^ 1
[and] gentleness. ^ predicator ^ 1
[and] have put to death ^ complement ^ 1
[and] luke, ^ relator ^ 1
[and] out of season; ^ predicator ^ 1
[and] patience; ^ predicator ^ 1
[and] peace ^ adjunct ^ 3
[and] peace, ^ predicator ^ 1
[and] precious, ^ conjunction ^ 1
[and] ready. ^ conjunction ^ 1
[and] thanksgivings, ^ adjunct ^ 1
[and] titus ^ adjunct ^ 1
[and] will establish [you]. ^ complement ^ 1
[and] younger [women] ^ adjunct ^ 1
[another] day; ^ subject ^ 1
[any] person, ^ conjunction ^ 1
[any] stumbling block ^ complement ^ 1
[anything] to eat? ^ predicator ^ 1
[are the] members, ^ complement ^ 1
[are they] of whom ^ predicator ^ 1
[are] all ^ complement ^ 1
[are] all things. ^ complement ^ 1
[are] all; ^ adjunct ^ 1
[are] always ^ complement ^ 1
[are] being guarded ^ adjunct ^ 1
[are] called ^ complement ^ 1
[are] coming ^ complement ^ 1
[are] eternal. ^ predicator ^ 1
[are] evident, ^ conjunction ^ 1
[are] faithful ^ complement ^ 1
[are] few ^ predicator ^ 1
[are] few; ^ predicator ^ 1
[are] few. ^ predicator ^ 1
[are] fools ^ adjunct ^ 1
[are] greater ^ qualifier ^ 1
[are] mature, ^ complement ^ 1
[are] not ^ complement ^ 1
[are] not ^ conjunction ^ 1
[are] one — ^ subject ^ 1
[are] possible ^ adjunct ^ 1
[are] these ^ complement ^ 1
[are] uncovered ^ complement ^ 1
[are] weak ^ complement ^ 1
[are] weighty ^ complement ^ 1
[are] white, ^ adjunct ^ 1
[are] witnesses ^ qualifier ^ 1
[are] you ^ predicator ^ 1
[as a] sign, ^ conjunction ^ 1
[as do] mark, ^ relator ^ 1
[as to] these things ^ complement ^ 1
[as] a footstool ^ qualifier ^ 2
[as] a pattern ^ qualifier ^ 1
[as] a prisoner, ^ adjunct ^ 1
[as] a propitiation ^ relator ^ 1
[as] a queen, ^ conjunction ^ 1
[as] a ransom ^ relator ^ 2
[as] a ransom ^ adjunct ^ 1
[as] an example ^ predicator ^ 2
[as] an exchange ^ qualifier ^ 1
[as] an exchange for ^ qualifier ^ 1
[as] an offering ^ adjunct ^ 1
[as] are multiplying ^ subject ^ 1
[as] enemies ^ qualifier ^ 1
[as] fasting, ^ conjunction ^ 1
[as] fasting. ^ adjunct ^ 1
[as] father ^ predicator ^ 3
[as] firstfruits ^ qualifier ^ 1
[as] having been crucified? ^ complement ^ 1
[as] he ^ predicator ^ 2
[as] he is reclining. ^ predicator ^ 1
[as] is assembling ^ conjunction ^ 1
[as] judge ^ predicator ^ 1
[as] lord ^ conjunction ^ 1
[as] pleasure ^ predicator ^ 1
[as] prince ^ adjunct ^ 1
[as] salvation ^ predicator ^ 1
[as] slaves ^ adjunct ^ 1
[as] slaves, ^ complement ^ 1
[as] they ^ conjunction ^ 1
[as] they were eating ^ conjunction ^ 1
[as] types ^ predicator ^ 1
[as] was sitting ^ conjunction ^ 1
[as] were descending ^ subject ^ 1
[as] were going ^ conjunction ^ 1
[as] were going out ^ subject ^ 1
[as] were preparing ^ conjunction ^ 1
[asking] not ^ predicator ^ 1
[be] always ^ adjunct ^ 1
[be] glory, ^ subject ^ 1
[be] honor ^ subject ^ 1
[be] thanks, ^ predicator ^ 2
[being] a slave, ^ complement ^ 1
[both] fresh ^ complement ^ 1
[by the] grace ^ conjunction ^ 1
[by your] hearing ^ adjunct ^ 1
[by] groups ^ adjunct ^ 1
[by] groups, ^ adjunct ^ 1
[by] two, ^ conjunction ^ 1
[came] again ^ adjunct ^ 1
[can] accuse ^ complement ^ 1
[come] disputes ^ conjunction ^ 1
[commanding] to abstain ^ complement ^ 1
[consisting] only ^ adjunct ^ 1
[dependent] widows, ^ predicator ^ 1
[did] not ^ predicator ^ 1
[due] time, ^ complement ^ 1
[enters] into ^ conjunction ^ 1
[feast of] unleavened bread, ^ adjunct ^ 1
[for it is] christ ^ definer ^ 1
[for the] blood ^ qualifier ^ 1
[for the] mature ^ conjunction ^ 1
[for them] to hold to — ^ definer ^ 1
[for] a camel ^ adjunct ^ 1
[for] all things ^ predicator ^ 1
[for] another ^ predicator ^ 1
[for] any ^ predicator ^ 1
[for] god, ^ complement ^ 1
[for] this one ^ complement ^ 1
[for] to be held ^ subject ^ 1
