Clause^SubclauseFunction
40.1:1.w1-w8_2^subject qualifier qualifier definer definer definer definer definer 
40.1:10.w1-w5^subject conjunction predicator complement complement 
40.1:10.w6-w10^subject conjunction predicator complement complement 
40.1:10.w11-w15^subject conjunction predicator complement complement 
40.1:11.w1-w13^subject conjunction predicator complement complement complement complement complement complement adjunct adjunct adjunct adjunct 
40.1:12.w1-w9^adjunct conjunction conjunction conjunction conjunction subject predicator complement complement 
40.1:12.w1^adjunct 
40.1:12.w10-w14^subject conjunction predicator complement complement 
40.1:13.w1-w5^subject conjunction predicator complement complement 
40.1:13.w6-w10^subject conjunction predicator complement complement 
40.1:13.w11-w15^subject conjunction predicator complement complement 
40.1:14.w1-w5^subject conjunction predicator complement complement 
40.1:14.w6-w10^subject conjunction predicator complement complement 
40.1:14.w11-w15^subject conjunction predicator complement complement 
40.1:15.w1-w5^subject conjunction predicator complement complement 
40.1:15.w6-w10^subject conjunction predicator complement complement 
40.1:15.w11-w15^subject conjunction predicator complement complement 
40.1:16.w1-w8^subject conjunction predicator complement complement definer definer definer 
40.1:16.w9-w15^adjunct adjunct predicator subject predicator predicator complement 
40.1:16.w13-w15^predicator predicator complement 
40.1:17.w1-w10^subject conjunction conjunction conjunction relator relator relator relator complement complement 
40.1:17.w1^subject 
40.1:17.w11-w19^conjunction adjunct adjunct adjunct adjunct adjunct adjunct complement complement 
40.1:17.w20-w29^conjunction adjunct adjunct adjunct adjunct adjunct adjunct adjunct complement complement 
40.1:18.w1-w8^qualifier conjunction qualifier qualifier qualifier qualifier adjunct predicator 
40.1:18.w1_2^qualifier 
40.1:18.w9-w15^predicator subject subject subject subject complement complement 
40.1:18.w16-w19^predicator predicator predicator subject 
40.1:18.w21-w26^adjunct adjunct predicator adjunct adjunct adjunct 
40.1:19.w1-w16^subject conjunction definer definer definer complement predicator conjunction adjunct predicator complement predicator predicator adjunct predicator complement 
40.1:19.w1^subject 
40.1:19.w6-w7^complement predicator 
40.1:19.w8-w12^conjunction adjunct predicator complement predicator 
40.1:19.w11-w12^complement predicator 
40.1:19.w14-w16^adjunct predicator complement 
40.1:2.w1-w4^subject predicator complement complement 
40.1:2.w5-w9^subject conjunction predicator complement complement 
40.1:2.w10-w18^subject conjunction predicator complement complement complement complement complement complement 
40.1:20.w1-w4^complement conjunction subject predicator 
40.1:20.w5_2^predicator 
40.1:20.w6-w12^subject subject adjunct adjunct predicator complement predicator 
40.1:20.w12_2^predicator 
40.1:20.w13-w22^addressee definer definer adjunct predicator predicator complement adjunct adjunct adjunct 
40.1:20.w18-w22^predicator complement adjunct adjunct adjunct 
40.1:20.w23_2^predicator 
40.1:20.w28-w29^adjunct adjunct 
40.1:21.w1-w3^predicator conjunction complement 
40.1:21.w4-w9^conjunction predicator complement complement complement complement 
40.1:21.w10-w19^subject conjunction predicator complement complement complement adjunct adjunct adjunct adjunct 
40.1:22.w1-w4^subject conjunction conjunction predicator 
40.1:22.w1^subject 
40.1:22.w5-w14^conjunction predicator predicator predicator adjunct adjunct adjunct adjunct adjunct predicator 
40.1:22.w7-w14^predicator predicator adjunct adjunct adjunct adjunct adjunct predicator 
40.1:22.w14_2^predicator 
40.1:23.w1_2^predicator 
40.1:23.w2-w6^subject subject adjunct adjunct predicator 
40.1:23.w7-w9^conjunction predicator complement 
40.1:23.w10-w15^conjunction predicator complement complement complement complement 
40.1:23.w16-w22^subject predicator predicator adjunct adjunct subject subject 
40.1:23.w18_2^predicator 
40.1:23.w19-w22^adjunct adjunct subject subject 
40.1:24.w1_2^predicator 
40.1:24.w9-w14^conjunction predicator complement subject subject subject 
40.1:24.w15-w19^conjunction predicator complement complement complement 
40.1:25.w1-w8^conjunction adjunct predicator complement adjunct adjunct predicator complement 
40.1:25.w5-w8^adjunct adjunct predicator complement 
40.1:25.w9-w14^conjunction predicator complement complement complement complement 
