word function phrase ^ count
* * head head ^ 1
* * head head specifier head ^ 1
* * head head specifier head connector head ^ 2
* * head specifier head ^ 1
* * head specifier head specifier head ^ 1
* * specifier head head head ^ 2
* connector head head ^ 1
* connector head head head specifier head definer ^ 1
* connector head head head specifier head qualifier ^ 1
* head ^ 4
adjunct adjunct definer head specifier head ^ 1
adjunct adjunct head ^ 2
adjunct connector head head ^ 1
adjunct connector head head head ^ 1
adjunct head ^ 1
complement complement head head specifier specifier head ^ 1
complement complement head qualifier ^ 1
complement connector head specifier head head head connector head qualifier specifier head head ^ 1
connector ^ 1
connector connector definer specifier head head head head head ^ 1
connector connector head specifier head ^ 1
connector connector specifier head ^ 1
connector definer head connector ^ 1
connector definer head head ^ 2
connector definer head specifier head head specifier head definer ^ 1
connector definer specifier head ^ 1
connector definer specifier head qualifier head head ^ 1
connector definer specifier head specifier head specifier head head head ^ 1
connector definer specifier head specifier specifier head ^ 1
connector definer specifier specifier head ^ 1
connector head ^ 30
connector head connector head ^ 2
connector head connector head connector head ^ 1
connector head connector head connector head connector head ^ 2
connector head connector head connector head connector head connector definer head head head ^ 1
connector head connector head connector head connector head connector head connector head ^ 1
connector head connector head connector head connector head connector specifier head ^ 1
connector head connector head connector head head head head ^ 1
connector head connector head connector specifier head specifier head ^ 1
connector head connector head head ^ 2
connector head connector head head specifier head ^ 1
connector head connector head specifier definer head definer connector ^ 1
connector head connector specifier definer head definer head ^ 1
connector head connector specifier head qualifier connector specifier head qualifier ^ 1
connector head connector specifier head specifier head ^ 1
connector head definer ^ 2
connector head head ^ 3
connector head head connector head ^ 1
connector head head connector head head connector head head connector head head head head head head head ^ 1
connector head head definer specifier head head specifier specifier head head connector specifier specifier head head ^ 1
connector head head head ^ 1
connector head head head head qualifier head ^ 1
connector head head head qualifier head ^ 1
connector head head head specifier specifier head ^ 1
connector head head qualifier head head head head ^ 1
connector head head specifier head ^ 5
connector head head specifier head specifier head connector head specifier head qualifier ^ 1
connector head head specifier head specifier head head connector specifier head ^ 1
connector head head specifier specifier head definer ^ 1
connector head head specifier specifier head specifier specifier head specifier head specifier head ^ 1
connector head qualifier ^ 5
connector head qualifier connector qualifier head head ^ 1
connector head specifier definer head specifier head ^ 1
connector head specifier head ^ 6
connector head specifier head connector head specifier head definer ^ 1
connector head specifier head definer ^ 1
connector head specifier head head qualifier ^ 1
connector head specifier head head qualifier connector head head definer ^ 7
connector head specifier head head qualifier connector head head head ^ 1
connector head specifier head head specifier head ^ 2
connector head specifier head qualifier ^ 1
connector head specifier head specifier head definer connector head head definer ^ 1
connector head specifier head specifier head head ^ 1
connector head specifier specifier head ^ 1
connector head specifier specifier head qualifier ^ 3
connector head specifier specifier head specifier head ^ 1
connector qualifier head head ^ 1
connector specifier definer head ^ 3
connector specifier definer specifier head head ^ 1
connector specifier head ^ 16
connector specifier head connector specifier ^ 1
connector specifier head connector specifier head ^ 1
connector specifier head connector specifier head head head ^ 1
connector specifier head connector specifier head qualifier head head ^ 1
connector specifier head definer ^ 1
connector specifier head head ^ 8
connector specifier head head head ^ 1
connector specifier head head head head ^ 1
connector specifier head head specifier head ^ 1
connector specifier head head specifier head head head ^ 1
connector specifier head qualifier ^ 3
connector specifier head qualifier connector definer head specifier head ^ 1
connector specifier head qualifier connector head definer ^ 1
connector specifier head qualifier specifier head ^ 2
connector specifier head specifier definer specifier head ^ 1
connector specifier head specifier head ^ 2
connector specifier head specifier head head ^ 1
connector specifier head specifier head head connector connector head head connector specifier head head connector connector head head connector specifier head specifier head head specifier head connector specifier ^ 1
connector specifier head specifier head head specifier head ^ 1
connector specifier head specifier head head specifier head definer ^ 1
connector specifier head specifier head qualifier ^ 1
connector specifier head specifier head qualifier specifier head connector specifier head ^ 1
connector specifier head specifier specifier head connector specifier specifier head qualifier connector specifier specifier head specifier head qualifier ^ 1
connector specifier specifier head ^ 3
connector specifier specifier head connector specifier head connector specifier specifier head connector head specifier head connector specifier head connector head ^ 1
connector specifier specifier head qualifier ^ 2
