Subclause^SubclauseFunction
40.1:1.w1-w8^subject qualifier qualifier definer definer definer definer definer 
40.1:1.w2-w8^qualifier qualifier definer definer definer definer definer 
40.1:1.w3-w8^qualifier definer definer definer definer definer 
40.1:1.w4-w8^definer definer definer definer definer 
40.1:1.w5-w6^definer definer 
40.1:1.w7-w8^definer definer 
40.1:10.w1^subject 
40.1:10.w2^conjunction 
40.1:10.w3^predicator 
40.1:10.w4-w5^complement complement 
40.1:10.w6^subject 
40.1:10.w7^conjunction 
40.1:10.w8^predicator 
40.1:10.w9-w10^complement complement 
40.1:10.w11^subject 
40.1:10.w12^conjunction 
40.1:10.w13^predicator 
40.1:10.w14-w15^complement complement 
40.1:11.w1^subject 
40.1:11.w2^conjunction 
40.1:11.w3^predicator 
40.1:11.w4-w5^complement complement 
40.1:11.w6-w9^complement complement complement complement 
40.1:11.w10-w13^adjunct adjunct adjunct adjunct 
40.1:12.w1^adjunct 
40.1:12.w2^conjunction 
40.1:12.w3-w5^conjunction conjunction conjunction 
40.1:12.w6^subject 
40.1:12.w7^predicator 
40.1:12.w8-w9^complement complement 
40.1:12.w10^subject 
40.1:12.w11^conjunction 
40.1:12.w12^predicator 
40.1:12.w13-w14^complement complement 
40.1:13.w1^subject 
40.1:13.w2^conjunction 
40.1:13.w3^predicator 
40.1:13.w4-w5^complement complement 
40.1:13.w6^subject 
40.1:13.w7^conjunction 
40.1:13.w8^predicator 
40.1:13.w9-w10^complement complement 
40.1:13.w11^subject 
40.1:13.w12^conjunction 
40.1:13.w13^predicator 
40.1:13.w14-w15^complement complement 
40.1:14.w1^subject 
40.1:14.w2^conjunction 
40.1:14.w3^predicator 
40.1:14.w4-w5^complement complement 
40.1:14.w6^subject 
40.1:14.w7^conjunction 
40.1:14.w8^predicator 
40.1:14.w9-w10^complement complement 
40.1:14.w11^subject 
40.1:14.w12^conjunction 
40.1:14.w13^predicator 
40.1:14.w14-w15^complement complement 
40.1:15.w1^subject 
40.1:15.w2^conjunction 
40.1:15.w3^predicator 
40.1:15.w4-w5^complement complement 
40.1:15.w6^subject 
40.1:15.w7^conjunction 
40.1:15.w8^predicator 
40.1:15.w9-w10^complement complement 
40.1:15.w11^subject 
40.1:15.w12^conjunction 
40.1:15.w13^predicator 
40.1:15.w14-w15^complement complement 
40.1:16.w1^subject 
40.1:16.w2^conjunction 
40.1:16.w3^predicator 
40.1:16.w4-w8^complement complement definer definer definer 
40.1:16.w6-w8^definer definer definer 
40.1:16.w9-w10^adjunct adjunct 
40.1:16.w11^predicator 
40.1:16.w12-w15^subject predicator predicator complement 
40.1:16.w13-w14^predicator predicator 
40.1:16.w15^complement 
40.1:17.w1^subject 
40.1:17.w2^conjunction 
